source_path,screen_name,artifact_class,content_group_id,exact_duplicate,primary_path,candidate_routes,route_mapping_basis,prototype_quality,proposed_wave,production_decision,has_title,has_lang,has_main,has_h1,inline_style_count,template_token_count
AboutUs.dc.html,AboutUs,CONCEPT_OR_UNMAPPED,HTML-043,false,AboutUs.dc.html,,FILENAME_AND_CONTENT_INFERENCE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,UNMAPPED,ARCHIVE_OR_ROUTE_MAP_GAP,false,false,false,true,54,14
Activities.dc.html,Activities,ROUTE_SCREEN_OR_STATE,HTML-152,false,Activities.dc.html,/activities,EXPLICIT_PROJECT_COVERAGE,PREMIUM_STANDARD_CLAIMED_BY_SITE_AUDIT,OSLO_WAVE_1_CANDIDATE,REFERENCE_SUPERSEDED_BY_APPROVED_FIGMA,false,false,false,true,96,40
ActivityAnalytics.dc.html,ActivityAnalytics,ROUTE_SCREEN_OR_STATE,HTML-004,false,ActivityAnalytics.dc.html,/app/organizer/analytics,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,26,10
ActivityCheckIn.dc.html,ActivityCheckIn,ROUTE_SCREEN_OR_STATE,HTML-096,false,ActivityCheckIn.dc.html,/app/organizer/check-in,FILENAME_AND_CONTENT_INFERENCE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,OSLO_WAVE_1_CANDIDATE,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,21,0
ActivityDetail.dc.html,ActivityDetail,ROUTE_SCREEN_OR_STATE,HTML-045,false,ActivityDetail.dc.html,/activities/[activityId],EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,OSLO_WAVE_1_CANDIDATE,REFERENCE_SUPERSEDED_BY_APPROVED_FIGMA,false,false,false,true,32,2
ActivityPublished.dc.html,ActivityPublished,ROUTE_SCREEN_OR_STATE,HTML-190,false,ActivityPublished.dc.html,/app/organizer/activities,FILENAME_AND_CONTENT_INFERENCE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,OSLO_WAVE_1_CANDIDATE,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,16,2
ActivityRegistrations.dc.html,ActivityRegistrations,ROUTE_SCREEN_OR_STATE,HTML-123,false,ActivityRegistrations.dc.html,/app/organizer | /app/organizer/registrations,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,OSLO_WAVE_1_CANDIDATE,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,20,10
AdminAnalytics.dc.html,AdminAnalytics,ROUTE_SCREEN_OR_STATE,HTML-009,false,AdminAnalytics.dc.html,/admin/analytics,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,29,15
AdminAppeals.dc.html,AdminAppeals,ROUTE_SCREEN_OR_STATE,HTML-162,false,AdminAppeals.dc.html,/admin/moderation/appeals,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,17,12
AdminAuditLog.dc.html,AdminAuditLog,ROUTE_SCREEN_OR_STATE,HTML-159,false,AdminAuditLog.dc.html,/admin/audit-log,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,14,9
AdminDashboard.dc.html,AdminDashboard,ROUTE_SCREEN_OR_STATE,HTML-089,false,AdminDashboard.dc.html,/admin,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,27,13
AdminEventAdministration.dc.html,AdminEventAdministration,ROUTE_SCREEN_OR_STATE,HTML-042,false,AdminEventAdministration.dc.html,/admin/events,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,22,20
AdminEvents.dc.html,AdminEvents,ROUTE_SCREEN_OR_STATE,HTML-052,false,AdminEvents.dc.html,/admin/events,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,17,15
AdminFinanceCommissions.dc.html,AdminFinanceCommissions,ROUTE_SCREEN_OR_STATE,HTML-135,false,AdminFinanceCommissions.dc.html,/admin/finance/commissions,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,17,16
AdminFinanceDisputes.dc.html,AdminFinanceDisputes,ROUTE_SCREEN_OR_STATE,HTML-025,false,AdminFinanceDisputes.dc.html,/admin/finance/disputes,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,22,20
AdminFinanceInvoices.dc.html,AdminFinanceInvoices,ROUTE_SCREEN_OR_STATE,HTML-158,false,AdminFinanceInvoices.dc.html,/admin/finance/invoices,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,18,17
AdminFinanceOverview.dc.html,AdminFinanceOverview,ROUTE_SCREEN_OR_STATE,HTML-059,false,AdminFinanceOverview.dc.html,/admin/finance,EXPLICIT_PROJECT_COVERAGE,LEGACY_OR_UNVERIFIED_PER_SITE_AUDIT,LATER,REFERENCE_REQUIRES_FIGMA_APPROVAL,false,false,false,false,24,12
